ModelFamily	ModelSize	ModelSeed	ModelStep	CorrelatingVariable	PearsonR	SpearmanRho
pythia	70m	seed1	256	OpenWebText_1gram	0.9248561878310197	0.92504966313122
pythia	410m	seed8	4	Pile_5gram	-0.03451596847273787	-0.047943522975803746
pythia	410m	seed8	4	Pile_4gram	-0.0373391915015148	-0.0510609442328776
pythia	410m	seed8	4	Pile_3gram	-0.04283884670460172	-0.05213099368210577
pythia	410m	seed8	4	Pile_2gram	-0.03778125729745646	-0.040943221790045635
pythia	410m	seed8	4	Pile_1gram	-0.030094324354031598	-0.039723269462327265
pythia	410m	seed8	4	wcd_cc	-0.030737678313870986	-0.03610271763291957
pythia	410m	seed8	4	ucd_cc	-0.02251831957000974	-0.02868805453497539
pythia	410m	seed8	4	wcd_wiki	-0.056016990276435745	-0.06181356819001861
pythia	410m	seed8	4	ucd_wiki	-0.044943465049661666	-0.04993965371876376
pythia	410m	seed8	4	OpenWebText_5gram	-0.038144482054986564	-0.04834512246483644
pythia	410m	seed8	4	OpenWebText_4gram	-0.03799164042895345	-0.05010854730276592
pythia	410m	seed8	4	OpenWebText_3gram	-0.04102173470959806	-0.05131392809184169
pythia	410m	seed8	4	OpenWebText_2gram	-0.035991998401498755	-0.040013145429431185
pythia	410m	seed8	4	OpenWebText_1gram	-0.02540580766033261	-0.03510049344664684
pythia	410m	seed3	128	Pile_5gram	0.5449764861337701	0.5440664404870567
pythia	410m	seed3	128	Pile_4gram	0.5959554526523686	0.6055903120390558
pythia	410m	seed3	128	Pile_3gram	0.6909825354877406	0.7004033585478711
pythia	410m	seed3	128	Pile_2gram	0.8154678342211532	0.8223809130894933
pythia	410m	seed3	128	Pile_1gram	0.9210855268527017	0.9430211880182285
pythia	410m	seed3	128	wcd_cc	0.6717634711329858	0.6693640314774912
pythia	410m	seed3	128	ucd_cc	0.6829538568448182	0.681300661655925
pythia	410m	seed3	128	wcd_wiki	0.39410595341912097	0.3470389106163064
pythia	410m	seed3	128	ucd_wiki	0.3752632714064439	0.3301959022921742
pythia	410m	seed3	128	OpenWebText_5gram	0.5870064013757282	0.5907701160171284
pythia	410m	seed3	128	OpenWebText_4gram	0.6139593284345347	0.6243017996858364
pythia	410m	seed3	128	OpenWebText_3gram	0.6848023668221266	0.7002812386346764
pythia	410m	seed3	128	OpenWebText_2gram	0.8065023421159648	0.8177134250649849
pythia	410m	seed3	128	OpenWebText_1gram	0.91065683629971	0.9331733124931306
pythia	410m	seed9	16000	Pile_5gram	0.7566267545297479	0.7582049056101611
pythia	410m	seed9	16000	Pile_4gram	0.783781991241909	0.7931765934995547
pythia	410m	seed9	16000	Pile_3gram	0.783961627952907	0.7877766264407464
pythia	410m	seed9	16000	Pile_2gram	0.7133940521611479	0.7151375966897069
pythia	410m	seed9	16000	Pile_1gram	0.5535904132243779	0.5563731256153296
pythia	410m	seed9	16000	wcd_cc	0.5094557246106981	0.5182408464325213
pythia	410m	seed9	16000	ucd_cc	0.5007497266692489	0.509834995287816
pythia	410m	seed9	16000	wcd_wiki	0.4413880234449167	0.4368287453637821
pythia	410m	seed9	16000	ucd_wiki	0.4218635020750813	0.41266729511339456
pythia	410m	seed9	16000	OpenWebText_5gram	0.7536608921861684	0.7591851298446278
pythia	410m	seed9	16000	OpenWebText_4gram	0.767623013630699	0.778465479512601
pythia	410m	seed9	16000	OpenWebText_3gram	0.770795806364723	0.7794137997973075
pythia	410m	seed9	16000	OpenWebText_2gram	0.7101010607051333	0.7129882640305416
pythia	410m	seed9	16000	OpenWebText_1gram	0.5504778226895168	0.5540188249348977
pythia	12b	seed1234	2	Pile_5gram	-0.06372683875288558	-0.0648736835336827
pythia	12b	seed1234	2	Pile_4gram	-0.06925814420899433	-0.07079273567489973
pythia	12b	seed1234	2	Pile_3gram	-0.08219925403661939	-0.08093942612596561
pythia	12b	seed1234	2	Pile_2gram	-0.0951963986463963	-0.08985085138196343
pythia	12b	seed1234	2	Pile_1gram	-0.10957953717450825	-0.10469898663819979
pythia	12b	seed1234	2	wcd_cc	-0.08194944570258239	-0.06493761167169348
pythia	12b	seed1234	2	ucd_cc	-0.08449027258308722	-0.06908535301685559
pythia	12b	seed1234	2	wcd_wiki	-0.04412372662941426	-0.027288266978401664
pythia	12b	seed1234	2	ucd_wiki	-0.04231997605108543	-0.03035854123764887
pythia	12b	seed1234	2	OpenWebText_5gram	-0.06809590563700237	-0.06720398489440094
pythia	12b	seed1234	2	OpenWebText_4gram	-0.07069927844489884	-0.07097369370030385
pythia	12b	seed1234	2	OpenWebText_3gram	-0.0793317250101078	-0.07842938100312383
pythia	12b	seed1234	2	OpenWebText_2gram	-0.09042554938910412	-0.0859307927944024
pythia	12b	seed1234	2	OpenWebText_1gram	-0.10707860024674208	-0.1130089006889579
pythia	1_4b	seed1234	128000	Pile_5gram	0.7441477657056149	0.7514231541456777
pythia	1_4b	seed1234	128000	Pile_4gram	0.7642502436662585	0.775909883588776
pythia	1_4b	seed1234	128000	Pile_3gram	0.7501950540203564	0.7522564547400404
pythia	1_4b	seed1234	128000	Pile_2gram	0.6638555424069866	0.6627166866408787
pythia	1_4b	seed1234	128000	Pile_1gram	0.4977305743469884	0.4965188827266973
pythia	1_4b	seed1234	128000	wcd_cc	0.4695557086067916	0.47197093008963764
pythia	1_4b	seed1234	128000	ucd_cc	0.4617175057759453	0.46372507897990406
pythia	1_4b	seed1234	128000	wcd_wiki	0.41957652036518195	0.41194091021348966
pythia	1_4b	seed1234	128000	ucd_wiki	0.4050467909697785	0.391562144449702
pythia	1_4b	seed1234	128000	OpenWebText_5gram	0.7288463340641479	0.739664804987416
pythia	1_4b	seed1234	128000	OpenWebText_4gram	0.7400557990575756	0.7547449964311105
pythia	1_4b	seed1234	128000	OpenWebText_3gram	0.7352157985894234	0.7436674317752809
pythia	1_4b	seed1234	128000	OpenWebText_2gram	0.6614632653003275	0.6619183267978317
pythia	1_4b	seed1234	128000	OpenWebText_1gram	0.49564074876834774	0.4952075201488935
pythia	70m	seed3	2	Pile_5gram	-0.009987853206827069	-0.010579807337004553
pythia	70m	seed3	2	Pile_4gram	-0.009897203550052558	-0.009490041389432682
pythia	70m	seed3	2	Pile_3gram	-0.009024933746202847	-0.0073325587722542366
pythia	70m	seed3	2	Pile_2gram	-0.0047035251356514485	-0.0043338712139109805
pythia	70m	seed3	2	Pile_1gram	0.0006818561929745156	-0.0023801949476268333
pythia	70m	seed3	2	wcd_cc	0.012382475397076003	0.002083922197649848
pythia	70m	seed3	2	ucd_cc	0.013509189878304002	0.0037656606153741944
pythia	70m	seed3	2	wcd_wiki	0.031394993029372736	0.01910975102688529
pythia	70m	seed3	2	ucd_wiki	0.027216166319674252	0.018945541069866526
pythia	70m	seed3	2	OpenWebText_5gram	-0.007862179226448253	-0.0064787443006549044
pythia	70m	seed3	2	OpenWebText_4gram	-0.006846033452893288	-0.005073770212975912
pythia	70m	seed3	2	OpenWebText_3gram	-0.008622844521130487	-0.00617911011895535
pythia	70m	seed3	2	OpenWebText_2gram	-0.004406850925517734	-0.003566797095168124
pythia	70m	seed3	2	OpenWebText_1gram	0.0015242821894396914	0.0025889645664892848
pythia	410m	seed1	1	Pile_5gram	0.008843850495370701	0.00861278801613784
pythia	410m	seed1	1	Pile_4gram	0.011493851898242757	0.011126054057971135
pythia	410m	seed1	1	Pile_3gram	0.01206191205797722	0.009666060364590907
pythia	410m	seed1	1	Pile_2gram	0.009592853000198473	0.006034269263306686
pythia	410m	seed1	1	Pile_1gram	0.01646988461676793	0.015274324910856608
pythia	410m	seed1	1	wcd_cc	-0.007178581124845118	-0.0036470148865978217
pythia	410m	seed1	1	ucd_cc	-0.010725487704912462	-0.004785915087130453
pythia	410m	seed1	1	wcd_wiki	0.010262896931833606	0.013489504127844235
pythia	410m	seed1	1	ucd_wiki	0.011329166032099183	0.015353967410704989
pythia	410m	seed1	1	OpenWebText_5gram	0.006400863821194041	0.005216075973903958
pythia	410m	seed1	1	OpenWebText_4gram	0.009285913913623734	0.008523836898662854
pythia	410m	seed1	1	OpenWebText_3gram	0.011619098010801859	0.009746130210894488
pythia	410m	seed1	1	OpenWebText_2gram	0.011005308211783102	0.007844893721658868
pythia	410m	seed1	1	OpenWebText_1gram	0.01799741823387756	0.022076542282582094
pythia	14m	seed5	2	Pile_5gram	-0.04695146969538856	-0.04522426008365429
pythia	14m	seed5	2	Pile_4gram	-0.05235697198719529	-0.053197699264558425
pythia	14m	seed5	2	Pile_3gram	-0.06204304726676427	-0.06380888596328975
pythia	14m	seed5	2	Pile_2gram	-0.07444146709883731	-0.07114637664361977
pythia	14m	seed5	2	Pile_1gram	-0.10124142799700726	-0.0909746141143858
pythia	14m	seed5	2	wcd_cc	-0.09517776717436884	-0.08381438854664733
pythia	14m	seed5	2	ucd_cc	-0.09838683010073096	-0.085379233894456
pythia	14m	seed5	2	wcd_wiki	-0.09642850044463616	-0.08472886831512298
pythia	14m	seed5	2	ucd_wiki	-0.09420879859757353	-0.08331846375739382
pythia	14m	seed5	2	OpenWebText_5gram	-0.04930177470953124	-0.04862532366724692
pythia	14m	seed5	2	OpenWebText_4gram	-0.05150296174706514	-0.051755604683557235
pythia	14m	seed5	2	OpenWebText_3gram	-0.05768881661675491	-0.05953736065882086
pythia	14m	seed5	2	OpenWebText_2gram	-0.07037250968505043	-0.06804261945079305
pythia	14m	seed5	2	OpenWebText_1gram	-0.09754053958565456	-0.08379380733874021
pythia	70m	seed1	32	Pile_5gram	0.3660751611832847	0.38273104806351216
pythia	70m	seed1	32	Pile_4gram	0.4029682671172249	0.4330275318971889
pythia	70m	seed1	32	Pile_3gram	0.47203125014717273	0.5027373738894928
pythia	70m	seed1	32	Pile_2gram	0.5602135281274981	0.5804974950839962
pythia	70m	seed1	32	Pile_1gram	0.6808523699527815	0.66848228884224
pythia	70m	seed1	32	wcd_cc	0.5161565595864601	0.4720812199743542
pythia	70m	seed1	32	ucd_cc	0.5339962995951243	0.4899626679571904
pythia	70m	seed1	32	wcd_wiki	0.3623442862195871	0.26426967311984095
pythia	70m	seed1	32	ucd_wiki	0.3480633247472963	0.2641179244172835
pythia	70m	seed1	32	OpenWebText_5gram	0.39284414345482954	0.4105576021965274
pythia	70m	seed1	32	OpenWebText_4gram	0.41089517489789984	0.439674697436817
pythia	70m	seed1	32	OpenWebText_3gram	0.46255993061646516	0.49889542676345455
pythia	70m	seed1	32	OpenWebText_2gram	0.5507061101903198	0.5777955820511527
pythia	70m	seed1	32	OpenWebText_1gram	0.6681896401972258	0.6631262487332105
pythia	14m	seed1	16000	Pile_5gram	0.7149915678990044	0.7062190216651801
pythia	14m	seed1	16000	Pile_4gram	0.7621503885761327	0.7671957727027765
pythia	14m	seed1	16000	Pile_3gram	0.8224221715127988	0.8315928566800018
pythia	14m	seed1	16000	Pile_2gram	0.8396386450997232	0.8486820046450303
pythia	14m	seed1	16000	Pile_1gram	0.724771099146756	0.7326108323438835
pythia	14m	seed1	16000	wcd_cc	0.622558042479971	0.6441411910891593
pythia	14m	seed1	16000	ucd_cc	0.6130076658385978	0.6359529703073086
pythia	14m	seed1	16000	wcd_wiki	0.48184841592148286	0.4826460385683303
pythia	14m	seed1	16000	ucd_wiki	0.44919474195440423	0.4482278723951093
pythia	14m	seed1	16000	OpenWebText_5gram	0.7446085680662449	0.7393623148648018
pythia	14m	seed1	16000	OpenWebText_4gram	0.7700116186934225	0.7729669359644411
pythia	14m	seed1	16000	OpenWebText_3gram	0.8149220728776563	0.8262882914255582
